"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Jumia-Commits-To-Providing-Affordable-And-Stable-Prices-To-Ghanaians-- https://t.co/lt4ipGGLiS https://t.co/eywFwnMUdq",FALSE,0,NA,2019-02-26 18:46:03,FALSE,NA,"1100467044087095296",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","peacefmonline",0,FALSE,FALSE,NA,NA
"RT @Gocefinancial: 10 Companies in Africa which are most likely to be listed in 2019 (IPOs)

Multichoice  JSE

MTN

Dangote Cement LSE

Liq…",FALSE,0,NA,2019-02-26 18:45:14,FALSE,NA,"1100466838746644480",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Gocefinancial",23,TRUE,FALSE,NA,NA
"RT @SubDeliveryZone: - Between an Oxford educated entrepreneur - @tayooye
and Former jumia travel boss - @marekchinedu https://t.co/qcb9beU…",FALSE,0,NA,2019-02-26 18:44:53,FALSE,NA,"1100466751656153088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","saintstica",92,TRUE,FALSE,NA,NA
"Jumia Commits To Providing Affordable And Stable Prices To Ghanaians   .... https://t.co/tOtQNcKduq",FALSE,11,NA,2019-02-26 18:40:20,FALSE,NA,"1100465605101072384",NA,"<a href=""http://www.peacefmonline.com"" rel=""nofollow"">Peace FM Online</a>","peacefmonline",1,FALSE,FALSE,NA,NA
"Get ready for the Mega Independence Day Promo from Monday the 4th to Sunday 10th of March! 
Up to 75% off the best… https://t.co/5NfyDy4kO5",FALSE,1,NA,2019-02-26 18:39:26,TRUE,NA,"1100465378671632386",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JumiaGhana",2,FALSE,FALSE,NA,NA
"RT @JumiaPartyUG: We got you covered. Don't get stuck, order condoms online on Jumia Party!

Simply tap here <U+0001F449> https://t.co/WHP8xcDrcA  #Ju…",FALSE,0,NA,2019-02-26 18:39:05,FALSE,NA,"1100465288485711872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UGsmt",4,TRUE,FALSE,NA,NA
"RT @JumiaFoodUG: Introducing Jumia Now!! 

Get whatever you need delivered to you in 60 minutes from either Supermarket, Pharmacy, Mobile a…",FALSE,0,NA,2019-02-26 18:38:03,FALSE,NA,"1100465030892609537",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UGsmt",7,TRUE,FALSE,NA,NA
"RT @JumiaFoodUG: Buy Two Dream Burgers &amp; Get One Burger FREE from @dancingcup_  

Tap https://t.co/iyNkrWt4ob to order now! https://t.co/tr…",FALSE,0,NA,2019-02-26 18:37:54,FALSE,NA,"1100464992963518470",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UGsmt",3,TRUE,FALSE,NA,NA
"RT @JumiaFoodUG: FREE DELIVERY ALERT!!

Enjoy Free Delivery on all Jumia Now orders. Get whatever you need delivered to you in 60 minutes f…",FALSE,0,NA,2019-02-26 18:37:30,FALSE,NA,"1100464889758396416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UGsmt",7,TRUE,FALSE,NA,NA
"RT @InfinixKenya: Pre-Order  ZERO 6 PRO on Jumia here https://t.co/5hQAt097mQ and stand a chance to get another absolutely FREE! <U+0001F603>
#Zero6KE…",FALSE,0,NA,2019-02-26 18:37:15,FALSE,NA,"1100464829322723329",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SamThairu",4,TRUE,FALSE,NA,NA
